RK,Player,Team,Position,AVG
142,Jakobi Meyers,NE ,WR,145.8
143,Daniel Jones,NYG ,QB,147.0
144,Nyheim Hines,IND ,RB,148.8
145,Jamaal Williams,DET ,RB,149.0
146,Jameis Winston,NO ,QB,149.4
147,Robert Tonyan,GB ,TE,149.4
148,DeVante Parker,NE ,WR,149.6
149,Rachaad White,TB ,RB,154.2
150,Isaiah Spiller,LAC ,RB,155.2
151,Jarvis Landry,NO ,WR,155.2
152,Mac Jones,NE ,QB,158.6
153,Jalen Tolbert,DAL ,WR,159.0
154,Tampa Bay Buccaneers,TB ,DST,159.4
155,San Francisco 49ers,SF ,DST,160.0
156,Rondale Moore,ARI ,WR,160.2
157,Tyler Allgeier,ATL ,RB,161.4
158,Isaiah McKenzie,BUF ,WR,161.4
159,Jared Goff,DET ,QB,167.6
160,Justin Tucker,BAL ,K,169.6
161,New Orleans Saints,NO ,DST,170.6
162,Ryan Tannehill,TEN ,QB,172.4
163,K.J. Osborn,MIN ,WR,174.2
164,Kenny Golladay,NYG ,WR,174.8
165,Brevin Jordan,HOU ,TE,174.8
166,Denver Broncos,DEN ,DST,175.0
167,Tyler Higbee,LAR ,TE,175.0
168,Sony Michel,MIA ,RB,176.0
169,Zamir White,LV ,RB,176.0
170,Darrel Williams,ARI ,RB,176.6
171,Joshua Palmer,LAC ,WR,177.4
172,Indianapolis Colts,IND ,DST,177.6
173,Michael Gallup,DAL ,WR,178.2
174,Tyrion Davis-Price,SF ,RB,180.2
175,Nico Collins,HOU ,WR,180.2
176,Wan'Dale Robinson,NYG ,WR,180.2
177,Los Angeles Rams,LAR ,DST,180.4
178,Raheem Mostert,MIA ,RB,180.6
179,New England Patriots,NE ,DST,180.8
180,Jameson Williams,DET ,WR,181.2
181,Deshaun Watson,CLE ,QB,184.0
182,Baltimore Ravens,BAL ,DST,185.4
183,Dallas Cowboys,DAL ,DST,186.2
184,Hayden Hurst,CIN ,TE,189.8
185,Romeo Doubs,GB ,WR,189.8
186,Mark Ingram II,NO ,RB,190.8
