RK,Player,Team,Position,AVG
142,DeVante Parker,NE ,WR,148.4
143,Jahan Dotson,WAS ,WR,148.6
144,Noah Fant,SEA ,TE,151.6
145,Matt Ryan,IND ,QB,152.2
146,Buffalo Bills,BUF ,DST,152.6
147,Jameis Winston,NO ,QB,155.2
148,Rondale Moore,ARI ,WR,155.4
149,Jarvis Landry,NO ,WR,155.6
150,Isaiah Spiller,LAC ,RB,156.6
151,Tyler Allgeier,ATL ,RB,157.4
152,Isaiah McKenzie,BUF ,WR,159.0
153,Daniel Jones,NYG ,QB,160.0
154,Tampa Bay Buccaneers,TB ,DST,160.4
155,San Francisco 49ers,SF ,DST,160.8
156,Robert Tonyan,GB ,TE,162.0
157,Mac Jones,NE ,QB,163.4
158,Darrel Williams,ARI ,RB,165.0
159,J.D. McKissic,WAS ,RB,166.8
160,Tyrion Davis-Price,SF ,RB,167.0
161,Jalen Tolbert,DAL ,WR,168.4
162,Justin Tucker,BAL ,K,169.4
163,New Orleans Saints,NO ,DST,171.0
164,Sony Michel,MIA ,RB,172.8
165,Zamir White,LV ,RB,173.6
166,Raheem Mostert,MIA ,RB,174.8
167,Brevin Jordan,HOU ,TE,175.0
168,Denver Broncos,DEN ,DST,175.4
169,K.J. Osborn,MIN ,WR,176.8
170,Indianapolis Colts,IND ,DST,176.8
171,Tyler Higbee,LAR ,TE,179.0
172,Joshua Palmer,LAC ,WR,179.0
173,Kenny Golladay,NYG ,WR,179.2
174,New England Patriots,NE ,DST,179.8
175,Wan'Dale Robinson,NYG ,WR,180.8
176,Ryan Tannehill,TEN ,QB,181.6
177,Los Angeles Rams,LAR ,DST,182.8
178,Dallas Cowboys,DAL ,DST,184.0
179,Nico Collins,HOU ,WR,184.6
180,Mark Ingram II,NO ,RB,150.25
181,Jared Goff,DET ,QB,184.8
182,Baltimore Ravens,BAL ,DST,186.0
183,Michael Gallup,DAL ,WR,188.6
184,D'Ernest Johnson,CLE ,RB,190.4
185,Jameson Williams,DET ,WR,192.6
186,Deshaun Watson,CLE ,QB,193.4
187,Matt Gay,LAR ,K,193.6
188,Parris Campbell,IND ,WR,195.0
189,Austin Hooper,,TEN TE,195.8
190,Tyler Bass,BUF ,K,196.6
191,Hayden Hurst,CIN ,TE,168.0
192,Mo Alie-Cox,IND ,TE,200.4
193,Romeo Doubs,GB ,WR,200.6
194,Kansas City Chiefs,KC ,DST,202.0
195,Gus Edwards,BAL ,RB,204.2
196,DJ Chark Jr.,DET ,WR,204.2
197,KJ Hamler,DEN ,WR,206.8
198,Cleveland Browns,CLE ,DST,207.6
199,Green Bay Packers,GB ,DST,208.4
200,Christian Watson,GB ,WR,209.4
201,Evan Engram,JAC ,TE,211.0
202,Logan Thomas,WAS ,TE,211.0
203,Miami Dolphins,MIA ,DST,211.8
204,Robbie Anderson,CAR ,WR,213.0
205,Jeff Wilson Jr.,SF ,RB,213.8
206,D'Onta Foreman,CAR ,RB,186.75
207,Rodrigo Blankenship,IND ,K,214.0
208,Matt Prater,ARI ,K,215.2
209,Daniel Carlson,LV ,K,217.0
210,Marvin Jones Jr.,JAC ,WR,217.4
211,Los Angeles Chargers,LAC ,DST,217.8
212,Trey Sermon,SF ,RB,218.8
213,Mecole Hardman,KC ,WR,194.0
214,Ryan Succop,TB ,K,219.8
215,Samaje Perine,CIN ,RB,194.25
216,Corey Davis,NYJ ,WR,220.4
217,Alec Pierce,IND ,WR,220.6
218,Pittsburgh Steelers,PIT ,DST,221.4
219,Marlon Mack,HOU ,RB,196.25
220,Evan McPherson,CIN ,K,222.4
221,Zay Jones,JAC ,WR,225.2
222,Joshua Kelley,LAC ,RB,201.5
223,Van Jefferson,LAR ,WR,226.0
224,Davis Mills,HOU ,QB,226.2
225,Donovan Peoples-Jones,CLE ,WR,228.2
226,Harrison Butker,,KC K,204.75
227,Carson Wentz,WAS ,QB,230.0
228,Kendrick Bourne,NE ,WR,230.0
229,Cincinnati Bengals,CIN ,DST,230.0
230,Tyler Conklin,NYJ ,TE,233.2
231,Eno Benjamin,ARI ,RB,211.25
232,Robbie Gould,SF ,K,234.4
233,Philadelphia Eagles,PHI ,DST,236.0
234,Ameer Abdullah,LV ,RB,214.5
235,Baker Mayfield,CAR ,QB,236.8
236,Younghoe ,"Koo
                                            
                                            
                                                ",ATL K,237.0
237,A.J. Green,ARI ,WR,238.6
238,Damien Williams,ATL ,RB,183.33333333333334
239,David Bell,CLE ,WR,218.25
240,Jason Sanders,MIA ,K,240.8
241,Greg Zuerlein,NYJ ,K,243.0
242,Jerick McKinnon,KC ,RB,224.75
243,Carolina Panthers,CAR ,DST,245.6
244,Zach Wilson,NYJ ,QB,227.25
245,Nick Folk,NE ,K,228.75
246,Tennessee Titans,TEN ,DST,248.4
247,Dustin Hopkins,LAC ,K,248.8
248,Sammy Watkins,GB ,WR,200.0
249,Curtis Samuel,WAS ,WR,232.5
250,Boston Scott,PHI ,RB,232.75
251,William Fuller V,FA ,WR,233.0
252,Chris Evans,CIN ,RB,204.0
253,Laviska Shenault Jr.,JAC ,WR,251.8
254,Jamison Crowder,BUF ,WR,236.25
255,Brandon McManus,DEN ,K,253.6
256,Chuba Hubbard,CAR ,RB,254.4
257,Giovani Bernard,TB ,RB,211.33333333333334
258,Wil Lutz,NO ,K,256.2
259,Jake Elliott,PHI ,K,256.4
260,Chris Boswell,PIT ,K,257.2
261,Ty Montgomery,NE ,RB,216.33333333333334
262,Daniel Bellinger,NYG ,TE,245.5
263,Arizona Cardinals,ARI ,DST,261.0
264,Trey McBride,ARI ,TE,262.0
265,Braxton Berrios,NYJ ,WR,223.0
266,Dontrell Hilliard,TEN ,RB,224.0
267,Mason Crosby,GB ,K,265.6
268,Sterling Shepard,NYG ,WR,252.75
269,Ronald Jones II,KC ,RB,230.33333333333334
270,Rex Burkhead,HOU ,RB,253.5
271,Byron Pringle,CHI ,WR,256.0
272,Hassan Haskins,TEN ,RB,235.0
273,Terrace Marshall Jr.,CAR ,WR,257.0
274,Mike Davis,BAL ,RB,236.0
275,Chicago Bears,CHI ,DST,273.2
276,Cedrick Wilson Jr.,MIA ,WR,261.25
277,Randall Cobb,GB ,WR,241.33333333333334
278,Nelson Agholor,NE ,WR,243.66666666666666
279,Dan Arnold,JAC ,TE,263.75
280,Zack Moss,BUF ,RB,264.75
281,Odell Beckham Jr.,FA ,WR,265.0
282,Jonnu Smith,NE ,TE,265.25
283,Kyle Philips,TEN ,WR,265.5
284,Minnesota Vikings,MIN ,DST,277.2
285,Isaiah Likely,BAL ,TE,250.33333333333334
286,Jason Myers,SEA ,K,270.5
287,Nick Westbrook-Ikhine,TEN ,WR,254.33333333333334
288,Marcus Mariota,ATL ,QB,275.75
289,Graham Gano,NYG ,K,287.2
290,Greg Joseph,MIN ,K,264.3333333333333
291,Washington Commanders,WAS ,DST,289.0
292,Cameron Brate,TB ,TE,239.5
293,Devin Duvernay,BAL ,WR,267.6666666666667
294,Jaylen Warren,PIT ,RB,268.0
295,Kenyan Drake,FA ,RB,261.5
296,C.J. Uzomah,NYJ ,TE,284.0
297,Matt Breida,NYG ,RB,271.6666666666667
298,Trestan Ebner,CHI ,RB,250.0
299,Phillip Lindsay,IND ,RB,275.0
300,New York Jets,NYJ ,DST,291.75
301,Brett Maher,DAL ,K,261.0
302,New York Giants,NYG ,DST,300.6
303,Harrison Bryant,CLE ,TE,282.0
304,Seattle Seahawks,SEA ,DST,298.8
305,Pierre Strong Jr.,NE ,RB,263.0
306,Adam Trautman,NO ,TE,289.3333333333333
307,Kenny Pickett,PIT ,QB,299.25
308,Greg Dulcich,DEN ,TE,289.3333333333333
309,Josh Reynolds,DET ,WR,265.5
310,Kyle Rudolph,TB ,TE,285.0
311,Detroit Lions,DET ,DST,294.5
312,Jacoby Brissett,CLE ,QB,297.25
313,Randy Bullock,TEN ,K,288.0
314,Tommy Tremble,CAR ,TE,289.6666666666667
315,Ke'Shawn Vaughn,TB ,RB,290.6666666666667
316,Myles Gaskin,MIA ,RB,293.0
317,Cairo Santos,CHI ,K,276.5
318,,"Ka'imi Fairbairn
                                            
                                            
                                                ",HOU K,292.3333333333333
319,Las Vegas Raiders,LV ,DST,304.0
320,John Bates,WAS ,TE,293.6666666666667
321,Noah Brown,DAL ,WR,242.0
322,Mack Hollins,LV ,WR,283.0
323,Jacksonville Jaguars,JAC ,DST,303.0
324,Chase McLaughlin,FA ,K,284.5
325,Atlanta Falcons,ATL ,DST,297.6666666666667
326,Ty Johnson,NYJ ,RB,249.0
327,Anthony Firkser,ATL ,TE,250.0
328,Danny Gray,SF ,WR,258.0
329,Snoop Conner,JAC ,RB,291.5
330,Jelani Woods,IND ,TE,292.0
331,James Proche II,BAL ,WR,293.0
332,O.J. Howard,BUF ,TE,304.5
333,Marquez Callaway,NO ,WR,268.0
334,Josh Lambo,FA ,K,269.0
335,Tristan Vizcaino,NE ,K,276.0
336,Malik Willis,TEN ,QB,300.5
337,Houston Texans,HOU ,DST,315.3333333333333
338,Khalil Shakir,BUF ,WR,281.0
339,Bryan Edwards,ATL ,WR,282.0
340,Quinn Nordin,FA ,K,282.0
341,Kalif Raymond,DET ,WR,283.0
342,Austin Seibert,DET ,K,283.0
343,Josiah Deguara,GB ,TE,303.0
344,Desmond Ridder,ATL ,QB,321.0
345,Deonte Harty,NO ,WR,285.0
346,Jerome Ford,CLE ,RB,286.0
347,Donald Parham Jr.,LAC ,TE,304.5
348,Abram Smith,NO ,RB,289.0
349,Mitch Trubisky,PIT ,QB,313.3333333333333
350,Geno Smith,SEA ,QB,316.5
351,Velus Jones Jr.,CHI ,WR,292.0
352,Jimmy Garoppolo,SF ,QB,324.5
353,Jalen Reagor,PHI ,WR,297.0
354,Tyler Badie,BAL ,RB,311.5
355,Drew Lock,SEA ,QB,326.6666666666667
356,Quez Watkins,PHI ,WR,300.0
357,Kene Nwangwu,MIN ,RB,300.0
358,Tyler Huntley,BAL ,QB,301.0
359,Tyrod Taylor,NYG ,QB,302.0
360,Sam Darnold,CAR ,QB,303.0
361,Foster Moreau,LV ,TE,306.0
362,Benny Snell Jr.,PIT ,RB,306.0
363,Equanimeous St. Brown,CHI ,WR,311.0
364,Travis Homer,SEA ,RB,312.0
365,Jauan Jennings,SF ,WR,313.0
366,Taysom Hill,NO ,TE,315.0
367,Juwan Johnson,NO ,TE,324.0
368,Pharaoh Brown,HOU ,TE,319.0
369,Amari Rodgers,GB ,WR,323.0
370,Kyren Williams,LAR ,RB,324.0
371,Darius Slayton,NYG ,WR,327.0
372,DeeJay Dallas,SEA ,RB,329.0
373,Anthony McFarland Jr.,PIT ,RB,330.0
374,Justin Watson,KC ,WR,332.0
375,Jake Ferguson,DAL ,TE,334.0
376,Ben Skowronek,LAR ,WR,336.0
377,Tutu Atwell,LAR ,WR,339.0
378,Chris Conley,HOU ,WR,340.0
379,Tyquan Thornton,NE ,WR,345.0
380,Mike Boone,DEN ,RB,346.0
381,Quintez Cephus,DET ,WR,348.0
382,Jalen Guyton,LAC ,WR,349.0
383,Trent Sherfield,MIA ,WR,350.0
384,Jamal Agnew,JAC ,WR,351.0
385,Justice Hill,BAL ,RB,352.0
386,Larry Rountree III,LAC ,RB,353.0
387,Julius Chestnut,TEN ,RB,355.0
