RK,Player,Team,Position,AVG,Min,Max
105,Matthew Stafford,LAR ,QB,109.0,85.0,123.0
106,Skyy Moore,KC ,WR,109.8,76.0,173.0
107,Ken Walker III,SEA ,RB,113.2,90.0,132.0
108,Treylon Burks,TEN ,WR,114.4,106.0,123.0
109,David Njoku,CLE ,TE,115.0,95.0,140.0
110,Chris Olave,NO ,WR,115.2,107.0,128.0
111,Nyheim Hines,IND ,RB,116.6,94.0,156.0
112,Russell Gage,TB ,WR,118.2,102.0,134.0
113,Aaron Rodgers,GB ,QB,118.4,99.0,126.0
114,DeAndre Hopkins,ARI ,WR,119.0,105.0,134.0
115,Justin Fields,CHI ,QB,121.0,101.0,160.0
116,Kirk Cousins,MIN ,QB,121.2,98.0,160.0
117,Robert Woods,TEN ,WR,121.2,98.0,149.0
118,Alexander Mattison,MIN ,RB,121.4,114.0,131.0
119,Chase Claypool,PIT ,WR,124.2,117.0,146.0
120,Jakobi Meyers,NE ,WR,124.6,107.0,147.0
121,George Pickens,PIT ,WR,125.0,109.0,137.0
122,Tyler Boyd,CIN ,WR,126.2,111.0,151.0
123,Dawson Knox,BUF ,TE,127.4,102.0,153.0
124,Kenneth Gainwell,PHI ,RB,127.8,116.0,143.0
125,Julio Jones,TB ,WR,128.8,105.0,194.0
126,Garrett Wilson,NYJ ,WR,128.8,112.0,145.0
127,Pat Freiermuth,PIT ,TE,129.4,102.0,141.0
128,Albert Okwuegbunam,DEN ,TE,131.0,104.0,142.0
129,Irv Smith Jr.,MIN ,TE,131.6,104.0,144.0
130,Darrell Henderson Jr.,LAR ,RB,132.8,114.0,160.0
131,Khalil Herbert,CHI ,RB,135.2,94.0,227.0
132,Jarvis Landry,NO ,WR,135.2,120.0,150.0
133,Isiah Pacheco,KC ,RB,135.4,120.0,143.0
134,Jahan Dotson,WAS ,WR,136.2,112.0,185.0
135,Marquez Valdes-Scantling,KC ,WR,137.6,110.0,187.0
136,Rondale Moore,ARI ,WR,138.4,103.0,183.0
137,DeVante Parker,NE ,WR,139.2,103.0,206.0
138,Hunter Henry,NE ,TE,140.2,128.0,151.0
139,Isaiah McKenzie,BUF ,WR,143.0,97.0,185.0
140,James Robinson,JAC ,RB,143.0,138.0,157.0
141,Tua Tagovailoa,MIA ,QB,143.2,124.0,172.0
142,Gerald Everett,LAC ,TE,146.2,128.0,167.0
143,Noah Fant,SEA ,TE,146.4,104.0,179.0
144,Jamaal Williams,DET ,RB,147.0,114.0,217.0
145,Trevor Lawrence,JAC ,QB,147.0,125.0,197.0
146,Mike Gesicki,MIA ,TE,152.4,135.0,179.0
147,Rachaad White,TB ,RB,153.0,126.0,189.0
148,Jalen Tolbert,DAL ,WR,153.0,133.0,205.0
149,Joshua Palmer,LAC ,WR,154.6,135.0,186.0
