PlayerID,Player,Position,Tm,PassingYds,PassingAirYards,PassingYAC,PassingTD,Sacks,SackYards,Int,PassingAtt,Cmp,PassingFirstDown,PassingEPA,Passing2PC,RushingAtt,RushingYds,RushingTD,RushingFirstDown,RushingEPA,Rushing2PC,Receptions,Targets,ReceivingYards,ReceivingTDs,ReceivingAirYards,ReceivingYAC,ReceivingFirstDown,ReceivingEPA,Receiving2PC,TargetShare,AirYardsShare,WOPR,SpecialTeamsTD,FumblesLost,StandardFantasyPoints,PPRFantasyPoints,HalfPPRFantasyPoints
00-0037745,Velus Jones,WR,CHI,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,1,9,1,-5,14,1,1.7159492,0,0.04761905,-0.028901733,0.051197357,0,0,6.9,7.9,7.4
00-0037746,Brian Robinson,RB,WAS,0,0,0,0,0,0,0,0,0,0,0.0,0,9,22,0,2,-0.8462669,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,2.2,2.2,2.2
00-0037755,Jelani Woods,TE,IND,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,0,0,36,0,0,-0.7198322,0,0.027777778,0.14457831,0.14287148,0,0,0.0,0.0,0.0
00-0037809,Chigoziem Okonkwo,TE,TEN,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,0,0,12,0,0,-0.44928622,0,0.04347826,0.058252428,0.10599409,0,0,0.0,0.0,0.0
00-0037816,Romeo Doubs,WR,GB,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,3,5,29,0,63,7,1,-0.026506739,0,0.12820514,0.21649484,0.34385407,0,0,2.9,5.9,4.4
00-0037828,Danny Gray,WR,SF,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,2,0,0,45,0,0,-1.1038879,0,0.06666667,0.19148937,0.23404256,0,0,0.0,0.0,0.0
00-0037834,Brock Purdy,QB,SF,0,0,0,0,0,0,0,0,0,0,0.0,0,1,-1,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,-0.1,-0.1,-0.1
00-0037838,Isaiah Likely,TE,BAL,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,2,2,7,0,-1,8,0,-1.2255611,0,0.074074075,-0.003921569,0.10836601,0,0,0.7,2.7,1.7
00-0038040,Zamir White,RB,LV,0,0,0,0,0,0,0,0,0,0,0.0,0,1,-7,0,0,-1.4192874,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,-0.7,-0.7,-0.7
00-0038090,Skyy Moore,WR,KC,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,2,3,15,0,-6,22,0,6.5e-05,0,0.071428575,-0.02189781,0.09181439,0,0,1.5,3.5,2.5
00-0038102,Kenny Pickett,QB,PIT,327,363,137,0,3,17,1,52,34,19,-2.2376463,0,1,10,0,0,-1.5486249,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,12.08,12.08,12.08
00-0038104,Tyquan Thornton,WR,NE,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,2,3,7,0,46,3,0,-0.957524,0,0.14285715,0.2513661,0.390242,0,0,0.7,2.7,1.7
00-0038108,Bailey Zappe,QB,NE,188,183,98,1,0,0,1,21,17,11,6.5563407,0,5,5,0,0,-1.5626986,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,10.02,10.02,10.02
00-0038115,Daniel Bellinger,TE,NYG,0,0,0,0,0,0,0,0,0,0,0.0,0,1,2,1,1,1.2865709,0,2,3,22,0,8,10,2,1.6884176,0,0.115384616,0.05839416,0.21395284,0,0,8.4,10.4,9.4
00-0038120,Breece Hall,RB,NYJ,0,0,0,0,0,0,0,0,0,0,0.0,0,18,97,1,4,1.7588491,0,2,2,100,0,17,83,2,7.7366266,0,0.0952381,0.08629441,0.20326324,0,0,25.7,27.7,26.7
00-0038124,Christian Watson,WR,GB,0,0,0,0,0,0,0,0,0,0,0.0,0,1,-3,0,0,-1.081518,0,1,1,1,0,-4,5,0,-0.4840042,0,0.025641026,-0.013745705,0.028839545,0,0,-0.2,0.8,0.3
00-0038129,Cade Otton,TE,TB,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,6,7,43,0,25,15,2,1.8505951,0,0.14,0.073529415,0.2614706,0,0,4.3,10.3,7.3
00-0038134,Kenneth Walker,RB,SEA,0,0,0,0,0,0,0,0,0,0,0.0,0,8,88,1,1,2.2373047,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,14.8,14.8,14.8
