RK,Player,Team,Position,AVG,Min,Max
232,Robbie Gould,SF ,K,234.4,209.0,271.0
233,Philadelphia Eagles,PHI ,DST,236.0,205.0,264.0
234,Ameer Abdullah,LV ,RB,214.5,133.0,261.0
235,Baker Mayfield,CAR ,QB,236.8,148.0,316.0
236,Younghoe ,"Koo
                                            
                                            
                                                ",ATL K,237.0,174.0,288.0
237,A.J. Green,ARI ,WR,238.6,220.0,266.0
238,Damien Williams,ATL ,RB,183.33333333333334,176.0,197.0
239,David Bell,CLE ,WR,218.25,203.0,244.0
240,Jason Sanders,MIA ,K,240.8,197.0,283.0
241,Greg Zuerlein,NYJ ,K,243.0,178.0,289.0
242,Jerick McKinnon,KC ,RB,224.75,185.0,271.0
243,Carolina Panthers,CAR ,DST,245.6,221.0,271.0
244,Zach Wilson,NYJ ,QB,227.25,200.0,262.0
245,Nick Folk,NE ,K,228.75,197.0,280.0
246,Tennessee Titans,TEN ,DST,248.4,209.0,275.0
247,Dustin Hopkins,LAC ,K,248.8,222.0,279.0
248,Sammy Watkins,GB ,WR,200.0,149.0,237.0
249,Curtis Samuel,WAS ,WR,232.5,213.0,256.0
250,Boston Scott,PHI ,RB,232.75,172.0,270.0
251,William Fuller V,FA ,WR,233.0,224.0,254.0
252,Chris Evans,CIN ,RB,204.0,165.0,274.0
253,Laviska Shenault Jr.,JAC ,WR,251.8,219.0,267.0
254,Jamison Crowder,BUF ,WR,236.25,215.0,258.0
255,Brandon McManus,DEN ,K,253.6,231.0,282.0
256,Chuba Hubbard,CAR ,RB,254.4,192.0,322.0
257,Giovani Bernard,TB ,RB,211.33333333333334,172.0,265.0
258,Wil Lutz,NO ,K,256.2,231.0,273.0
259,Jake Elliott,PHI ,K,256.4,245.0,278.0
260,Chris Boswell,PIT ,K,257.2,245.0,296.0
261,Ty Montgomery,NE ,RB,216.33333333333334,131.0,269.0
262,Daniel Bellinger,NYG ,TE,245.5,230.0,255.0
263,Arizona Cardinals,ARI ,DST,261.0,241.0,284.0
264,Trey McBride,ARI ,TE,262.0,243.0,282.0
265,Braxton Berrios,NYJ ,WR,223.0,216.0,233.0
266,Dontrell Hilliard,TEN ,RB,224.0,211.0,236.0
267,Mason Crosby,GB ,K,265.6,232.0,291.0
268,Sterling Shepard,NYG ,WR,252.75,202.0,290.0
269,Ronald Jones II,KC ,RB,230.33333333333334,177.0,275.0
270,Rex Burkhead,HOU ,RB,253.5,198.0,309.0
