RK,Player,Team,Position,AVG,MIN,MAX,STD DEV
108,Cole Kmet,CHI,TE,109.9,101,141,13.7
109,Elijah Moore,NYJ,WR,112.3,96,137,10.6
110,Rondale Moore,ARI,WR,112.4,98,136,9.5
111,Devin Singletary,BUF,RB,112.7,91,147,16.1
112,Brandin Cooks,HOU,WR,113.7,96,134,11.7
113,Elijah Mitchell,SF,RB,116.6,94,139,10.4
114,Kadarius Toney,KC,WR,116.6,106,133,6.8
115,Daniel Jones,NYG,QB,117.1,87,160,24.0
116,Zay Jones,JAC,WR,118.1,109,133,8.1
117,Alexander Mattison,MIN,RB,122.5,108,143,9.8
118,Kenneth Gainwell,PHI,RB,124.2,91,157,17.1
119,Donovan Peoples-Jones,CLE,WR,124.3,110,146,10.2
120,Dawson Knox,BUF,TE,124.9,104,144,13.4
121,Geno Smith,SEA,QB,126.3,100,168,21.0
122,Michael Thomas,NO,WR,129.7,118,150,10.8
123,Trey Lance,SF,QB,130.7,101,172,19.5
124,Jared Goff,DET,QB,130.7,101,168,17.6
125,Greg Dulcich,DEN,TE,133.8,93,153,14.7
126,Kyler Murray,ARI,QB,134.0,100,196,32.1
127,Wan'Dale Robinson,NYG,WR,135.1,112,185,17.8
128,Rashaad Penny,SEA,RB,138.6,117,177,18.1
129,Hunter Renfrow,LV,WR,138.7,109,187,20.9
130,Nico Collins,HOU,WR,138.9,123,185,15.0
131,Trey McBride,ARI,TE,139.0,128,166,10.3
132,Tyler Boyd,CIN,WR,139.3,122,149,8.1
133,Skyy Moore,KC,WR,139.9,111,152,11.5
134,Allen Lazard,GB,WR,140.7,121,186,17.8
135,Joshua Palmer,LAC,WR,140.8,110,152,11.2
136,Raheem Mostert,MIA,RB,141.0,115,174,17.6
137,Jeff Wilson Jr.,MIA,RB,141.1,116,192,24.1
138,Chuba Hubbard,CAR,RB,141.8,117,174,14.0
139,Tyler Higbee,LAR,TE,141.9,135,165,6.8
140,Russell Wilson,DEN,QB,142.6,119,193,22.2
141,Gerald Everett,LAC,TE,142.9,140,153,3.0
142,Michael Gallup,DAL,WR,144.9,123,186,17.3
143,Chigoziem Okonkwo,TEN,TE,146.4,135,153,6.7
144,D'Onta Foreman,CAR,RB,146.5,115,192,28.4
145,Chase Claypool,CHI,WR,146.9,134,186,11.8
146,Jaylen Warren,PIT,RB,152.0,114,174,17.8
147,Aaron Rodgers,GB,QB,153.1,100,178,21.8
148,Cordarrelle Patterson,ATL,RB,153.4,127,189,17.0
149,Jahmyr Gibbs,FA,RB,117.8,44,235,65.8
150,Romeo Doubs,GB,WR,155.5,136,187,18.9
151,Michael Carter,NYJ,RB,156.0,138,198,16.6
152,Clyde Edwards-Helaire,KC,RB,156.1,139,264,30.3
153,Zach Ertz,ARI,TE,156.3,140,236,25.3
154,Buffalo Bills,BUF,DST,157.1,155,164,3.0
155,San Francisco 49ers,SF,DST,157.3,155,164,3.0
156,Samaje Perine,CIN,RB,162.6,132,198,18.1
157,DJ Chark Jr.,DET,WR,163.6,148,206,22.0
158,Alec Pierce,IND,WR,164.1,148,195,16.8
159,Dallas Cowboys,DAL,DST,164.9,155,200,13.9
160,Noah Fant,SEA,TE,167.8,144,182,11.2
161,Adam Thielen,FA,WR,169.0,133,206,24.5
162,Derek Carr,NO,QB,169.3,125,193,14.2
163,Mike Gesicki,MIA,TE,169.9,165,190,7.6
164,Philadelphia Eagles,PHI,DST,170.9,164,224,14.8
165,Matthew Stafford,LAR,QB,172.2,160,193,9.1
166,Denver Broncos,DEN,DST,172.6,169,180,4.5
167,Zamir White,LV,RB,173.8,147,217,23.2
168,Justin Tucker,BAL,K,175.0,175,175,0.0
169,Hayden Hurst,CIN,TE,175.5,165,190,9.4
170,Curtis Samuel,WAS,WR,175.7,150,205,20.1
171,K.J. Osborn,MIN,WR,176.1,130,213,24.4
172,Hunter Henry,NE,TE,178.5,165,236,21.0
173,New England Patriots,NE,DST,180.1,159,225,14.8
174,Baltimore Ravens,BAL,DST,181.0,170,213,16.0
175,Kenny Pickett,PIT,QB,182.0,168,202,10.9
176,Tyler Bass,BUF,K,182.1,181,191,2.6
177,D'Ernest Johnson,CLE,RB,182.2,154,257,32.5
178,Chase Edmonds,FA,RB,185.8,154,245,31.6
179,Quentin Johnston,FA,WR,156.8,105,244,53.5
180,Daniel Carlson,LV,K,189.4,181,215,9.6
181,New York Jets,NYJ,DST,190.3,156,318,51.0
182,Allen Robinson II,LAR,WR,190.5,173,222,12.7
183,Tampa Bay Buccaneers,TB,DST,192.1,156,213,18.2
184,Isaiah Spiller,LAC,RB,193.0,174,274,30.2
185,Isaiah Hodgins,NYG,WR,193.5,130,216,24.1
186,Zonovan Knight,NYJ,RB,196.0,147,238,26.1
187,Harrison Butker,KC,K,196.0,184,218,10.0
188,Jaxon Smith-Njigba,FA,WR,165.2,103,247,57.4
189,Zach Charbonnet,FA,RB,165.3,35,264,80.8
190,Daniel Bellinger,NYG,TE,197.6,182,244,21.6
191,Joshua Kelley,LAC,RB,197.7,138,259,32.6
192,Pierre Strong Jr.,NE,RB,197.8,158,264,31.3
193,Evan McPherson,CIN,K,198.7,184,204,7.7
194,Jordan Addison,FA,WR,170.3,105,262,63.8
195,Rashid Shaheed,NO,WR,200.9,185,225,11.6
196,Russell Gage,TB,WR,201.1,186,226,12.6
197,Mac Jones,NE,QB,206.7,193,284,25.4
