RK,Player,Team,Position,AVG,MIN,MAX,STD DEV
108,Damien Harris,NE,RB,112.4,92,159,16.1
109,Daniel Jones,NYG,QB,113.2,76,160,23.3
110,JuJu Smith-Schuster,KC,WR,115.7,106,137,9.2
111,Brandin Cooks,HOU,WR,117.4,98,143,12.1
112,Elijah Moore,NYJ,WR,118.5,109,145,10.4
113,Dawson Knox,BUF,TE,121.9,102,142,11.6
114,Devin Singletary,BUF,RB,122.0,92,170,17.4
115,Zay Jones,JAC,WR,122.2,111,137,9.2
116,Jerick McKinnon,KC,RB,123.2,92,185,21.0
117,Rondale Moore,ARI,WR,123.2,112,145,9.5
118,Geno Smith,SEA,QB,123.5,100,168,21.3
119,Jared Goff,DET,QB,125.4,101,168,17.2
120,Donovan Peoples-Jones,CLE,WR,126.4,117,145,9.2
121,Michael Thomas,NO,WR,127.3,112,150,11.6
122,Trey Lance,SF,QB,127.4,100,168,16.8
123,Alexander Mattison,MIN,RB,129.6,114,158,12.4
124,Greg Dulcich,DEN,TE,130.4,94,153,14.9
125,D'Onta Foreman,CAR,RB,132.7,91,176,24.1
126,Kenneth Gainwell,PHI,RB,135.3,108,161,14.6
127,Rashaad Penny,SEA,RB,135.4,114,175,19.3
128,Tyler Boyd,CIN,WR,135.6,121,153,11.1
129,Russell Wilson,DEN,QB,136.9,101,193,24.2
130,Chigoziem Okonkwo,TEN,TE,137.8,120,150,7.3
131,Allen Lazard,GB,WR,139.1,118,174,17.1
132,Nico Collins,HOU,WR,141.6,129,180,14.2
133,Jeff Wilson Jr.,MIA,RB,142.1,117,188,22.4
134,Wan'Dale Robinson,NYG,WR,142.6,122,184,17.7
135,Michael Gallup,DAL,WR,143.5,127,173,13.9
136,Raheem Mostert,MIA,RB,144.9,116,183,18.1
137,Gerald Everett,LAC,TE,144.9,141,165,7.2
138,Chuba Hubbard,CAR,RB,145.9,132,171,11.5
139,Joshua Palmer,LAC,WR,146.3,113,183,16.3
140,Kyler Murray,ARI,QB,129.9,95,193,32.1
141,Trey McBride,ARI,TE,148.6,132,167,11.3
142,Tyler Higbee,LAR,TE,149.3,140,166,8.0
143,Cordarrelle Patterson,ATL,RB,150.3,116,181,17.4
144,Aaron Rodgers,GB,QB,150.7,87,178,24.9
145,Chase Claypool,CHI,WR,152.3,136,186,15.6
146,Hunter Renfrow,LV,WR,154.3,118,203,27.9
147,Clyde Edwards-Helaire,KC,RB,154.5,139,239,23.1
148,Jahmyr Gibbs,FA,RB,99.6,42,189,52.9
149,DJ Chark Jr.,DET,WR,156.8,134,194,17.6
150,Romeo Doubs,GB,WR,157.4,136,187,17.7
151,Zamir White,LV,RB,158.3,138,206,19.9
152,Skyy Moore,KC,WR,158.6,123,196,20.9
153,Zach Ertz,ARI,TE,158.8,135,236,27.8
154,Jaylen Warren,PIT,RB,161.3,117,198,21.2
155,San Francisco 49ers,SF,DST,164.9,155,253,23.4
156,Mike Gesicki,MIA,TE,165.4,145,180,9.3
157,Buffalo Bills,BUF,DST,165.6,155,248,22.5
158,Alec Pierce,IND,WR,166.1,136,187,18.0
159,Matthew Stafford,LAR,QB,166.6,125,193,16.6
160,Derek Carr,NO,QB,166.9,125,195,17.9
161,Michael Carter,NYJ,RB,169.3,147,230,21.9
162,Dallas Cowboys,DAL,DST,171.4,155,260,26.9
163,Samaje Perine,CIN,RB,171.8,134,235,27.6
164,Adam Thielen,FA,WR,171.8,133,215,25.2
165,Noah Fant,SEA,TE,172.8,153,202,14.0
166,Curtis Samuel,WAS,WR,173.2,150,203,21.8
167,Taysom Hill,NO,TE,174.5,135,236,22.5
168,K.J. Osborn,MIN,WR,178.6,122,208,26.3
169,Kenny Pickett,PIT,QB,178.8,135,202,15.5
170,Denver Broncos,DEN,DST,179.2,169,259,21.1
171,Quentin Johnston,FA,WR,129.1,65,229,58.4
172,Justin Tucker,BAL,K,180.9,173,262,21.0
173,Hunter Henry,NE,TE,182.1,165,236,23.3
174,Chase Edmonds,FA,RB,185.2,155,252,34.1
175,Rashid Shaheed,NO,WR,185.7,142,223,21.2
176,Jaxon Smith-Njigba,FA,WR,138.4,65,231,60.9
177,Tyler Bass,BUF,K,188.1,181,270,21.4
178,Jordan Addison,FA,WR,140.8,65,240,66.5
179,Allen Robinson II,LAR,WR,188.9,151,223,18.4
180,Philadelphia Eagles,PHI,DST,176.4,160,269,28.9
181,Gus Edwards,BAL,RB,191.2,161,257,27.7
182,Hayden Hurst,CIN,TE,191.6,166,232,18.3
183,Isaiah Hodgins,NYG,WR,192.4,121,244,32.3
184,New England Patriots,NE,DST,180.2,159,221,14.4
185,Joshua Kelley,LAC,RB,194.3,139,257,31.3
186,Mecole Hardman,KC,WR,196.0,185,223,12.1
187,Zonovan Knight,NYJ,RB,197.0,154,257,30.1
188,Tyquan Thornton,NE,WR,197.7,138,231,24.9
189,Baltimore Ravens,BAL,DST,187.0,169,276,28.7
190,Daniel Carlson,LV,K,187.4,182,204,6.9
191,Zach Charbonnet,FA,RB,155.7,39,257,73.7
192,Tampa Bay Buccaneers,TB,DST,201.9,156,261,22.8
193,Juwan Johnson,NO,TE,202.0,140,255,32.1
194,Pierre Strong Jr.,NE,RB,202.2,153,272,32.9
195,John Metchie III,HOU,WR,202.4,139,260,29.0
196,Jelani Woods,IND,TE,203.9,142,260,38.4
197,Darius Slayton,NYG,WR,203.9,151,245,24.8
198,Daniel Bellinger,NYG,TE,204.7,179,244,18.8
199,Mac Jones,NE,QB,205.6,166,254,21.8
200,Harrison Butker,KC,K,193.8,182,215,8.6
201,James Robinson,FA,RB,194.4,162,280,29.3
202,DeVante Parker,NE,WR,207.4,186,252,18.7
203,New York Jets,NYJ,DST,195.2,155,318,56.1
204,Evan McPherson,CIN,K,197.4,184,204,7.8
205,Russell Gage,TB,WR,211.2,195,247,15.7
206,Parris Campbell,IND,WR,214.9,187,262,19.8
207,Ryan Tannehill,TEN,QB,217.5,192,284,30.1
208,Marquez Valdes-Scantling,KC,WR,218.1,206,243,11.9
209,Isaiah Likely,BAL,TE,219.2,182,267,24.4
210,Isaiah Spiller,LAC,RB,219.3,181,287,33.0
211,New Orleans Saints,NO,DST,208.5,170,225,14.6
212,Zay Flowers,FA,WR,180.5,98,263,64.0
213,Robert Woods,HOU,WR,221.9,195,266,22.5
214,Terrace Marshall Jr.,CAR,WR,223.1,207,301,20.8
215,Los Angeles Rams,LAR,DST,212.2,171,234,16.2
216,Corey Davis,NYJ,WR,224.6,212,244,11.3
217,Younghoe Koo,ATL,K,226.2,215,286,19.0
218,Jordan Mason,SF,RB,226.6,187,288,26.5
219,Van Jefferson,LAR,WR,227.2,203,268,15.5
220,Cincinnati Bengals,CIN,DST,215.9,199,272,23.8
221,Kansas City Chiefs,KC,DST,217.6,200,263,16.0
222,Nick Folk,NE,K,217.9,213,233,5.3
223,D'Ernest Johnson,CLE,RB,230.4,183,289,34.1
224,Ryan Succop,TB,K,233.1,215,279,15.7
225,Pittsburgh Steelers,PIT,DST,222.8,208,277,16.7
226,Sam Howell,WAS,QB,235.8,172,334,47.8
227,Isaiah McKenzie,BUF,WR,228.1,210,270,19.8
228,Josh Downs,FA,WR,205.7,132,292,63.5
229,Jason Sanders,MIA,K,231.8,221,285,15.6
230,Odell Beckham Jr.,FA,WR,232.1,148,269,37.5
231,David Bell,CLE,WR,232.2,206,269,14.5
232,Bryce Young,FA,QB,209.8,126,323,62.8
233,Washington Commanders,WAS,DST,235.1,206,303,32.4
234,Cade Otton,TB,TE,246.4,210,273,15.8
235,Matt Prater,ARI,K,247.6,218,300,19.4
236,Robbie Gould,FA,K,226.4,213,249,8.5
237,Devon Achane,FA,RB,214.3,115,313,71.7
238,Zack Moss,IND,RB,238.7,198,287,25.4
239,Cleveland Browns,CLE,DST,229.5,211,245,9.0
240,Los Angeles Chargers,LAC,DST,229.8,207,248,11.6
241,Matt Gay,LAR,K,241.6,191,302,23.9
242,Jalin Hyatt,FA,WR,218.2,129,271,53.3
243,Irv Smith Jr.,MIN,TE,253.2,215,284,20.1
244,Brandon McManus,DEN,K,233.1,224,274,11.8
245,Tim Patrick,DEN,WR,253.9,199,345,35.8
246,Albert Okwuegbunam,DEN,TE,254.1,224,273,12.4
247,Indianapolis Colts,IND,DST,235.6,169,266,22.7
248,Richie James Jr.,NYG,WR,256.4,196,363,39.3
249,Sterling Shepard,NYG,WR,249.2,206,311,26.3
250,Tank Bigsby,FA,RB,213.8,115,312,77.0
251,Nyheim Hines,BUF,RB,252.8,189,399,54.5
252,JaMycal Hasty,JAC,RB,262.7,217,327,30.8
253,Kyren Williams,LAR,RB,263.5,199,330,33.3
254,Green Bay Packers,GB,DST,245.8,211,266,11.8
255,Julio Jones,TB,WR,256.5,226,329,32.5
256,Jake Elliott,PHI,K,247.1,233,276,10.8
257,Marvin Jones Jr.,JAC,WR,257.5,231,317,24.8
258,Robert Tonyan,GB,TE,269.1,246,294,15.1
