Player,Team,Pos,RushingAtt,RushingYds,RushingTD,Receptions,ReceivingYds,ReceivingTD,FL,PassingAtt,PassingCmp,PassingYds,PassingTD,TotalInt,TotalSacks,Int,FumblesRecovered,FumblesForced,DefensiveTDs,SafetysForced,PointsAllowed,YardsAgainst,FieldGoalsMade,FieldGoalsAttempted,ExtraPointsMade
Darrell Henderson Jr.,LAR,RB,127.7,525.2,4,23.3,182.2,1.4,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ken Walker III,SEA,RB,159.3,620.3,4.3,17.3,129.2,0.5,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Cook,BUF,RB,110.2,474.4,3.6,29.2,235,1.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marlon Mack,HOU,RB,130.9,599.9,3.9,14.1,105.3,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaal Williams,DET,RB,137.7,552.6,3.4,22.8,149.2,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raheem Mostert,MIA,RB,114.2,565.2,3.8,15,120.1,0.8,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenneth Gainwell,PHI,RB,91.1,379.5,4,30.8,246.1,1.3,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Mattison,MIN,RB,115.5,464.9,2.9,25.4,189.3,1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Ingram II,NO,RB,123.6,488.1,3.4,19.6,147.8,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Allgeier,ATL,RB,136.4,500.3,2.9,17,132.3,0.6,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nyheim Hines,IND,RB,69.7,276.4,1.8,44.1,345.8,1.8,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Spiller,LAC,RB,91.6,388.2,2.9,22.7,183.5,1.3,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rachaad White,TB,RB,93.6,374.3,3.4,21.2,168.3,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gus Edwards,BAL,RB,115.3,501.7,3.5,8.9,74.9,0.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.D. McKissic,WAS,RB,51.8,215.9,1.4,44.8,348.7,1.9,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rex Burkhead,HOU,RB,75,319.8,2.4,27.2,219.4,1.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamir White,LV,RB,92.5,393.6,3.5,13.4,110.6,0.5,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khalil Herbert,CHI,RB,114.2,423.2,2.7,16,120.5,0.5,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darrel Williams,ARI,RB,76.2,294.4,2.7,20.5,172.1,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D'Onta Foreman,CAR,RB,85.8,404.7,2.6,7.7,70.4,0.2,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerick McKinnon,KC,RB,43.8,209.2,1.4,27.9,228.8,1.4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damien Williams,ATL,RB,77.6,280.9,2,20.1,146,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isiah Pacheco,KC,RB,73.2,298.4,2.6,13.9,104.9,0.5,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sony Michel,MIA,RB,95.6,363.1,2.4,8.7,57,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston Scott,PHI,RB,65.8,287.8,2.9,8.1,61,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dontrell Hilliard,TEN,RB,47.2,237.6,1.5,25.9,183.2,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Breida,NYG,RB,72.4,301.3,1.5,13,101.1,0.7,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ameer Abdullah,LV,RB,36.2,166.3,0.8,30.9,235.4,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ronald Jones II,KC,RB,56.8,284.4,2.6,9.2,61.5,0.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samaje Perine,CIN,RB,65.8,253.3,1.3,18.2,128.2,0.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hassan Haskins,TEN,RB,66.6,270.4,1.8,8.4,65.3,0.4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrion Davis-Price,SF,RB,56.1,230.2,1.9,10.6,92,0.4,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chuba Hubbard,CAR,RB,52.5,205.1,1.5,13.1,90.8,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Davis,BAL,RB,41.8,221.5,1.6,11.9,78.9,0.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eno Benjamin,ARI,RB,47.7,205.6,1.5,8.1,67.7,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ke'Shawn Vaughn,TB,RB,47.1,198.6,1.9,6.8,46.7,0.1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
