,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
49,Gus Edwards,BAL,RB,125.1,554.8,3.8,10.0,84.4,0.2,0.7,0.0,0.0,0,0.0,0.0
50,Alexander Mattison,MIN,RB,115.5,464.9,2.9,25.4,189.4,1.0,0.9,0.0,0.0,0,0.0,0.0
51,Mark Ingram II,NO,RB,122.4,485.3,3.4,19.4,146.7,0.7,1.0,0.0,0.0,0,0.0,0.0
52,Isaiah Spiller,LAC,RB,96.1,407.6,3.1,22.8,184.3,1.3,1.3,0.0,0.0,0,0.0,0.0
53,Rachaad White,TB,RB,97.2,395.3,3.6,20.5,167.9,1.0,1.2,0.0,0.0,0,0.0,0.0
54,Nyheim Hines,IND,RB,69.8,276.9,1.7,44.1,345.2,1.8,1.6,0.0,0.0,0,0.0,0.0
55,J.D. McKissic,WAS,RB,51.8,227.3,1.5,45.7,359.0,1.9,0.5,0.0,0.0,0,0.0,0.0
56,Rex Burkhead,HOU,RB,75.0,319.8,2.4,28.0,226.2,1.1,0.5,0.0,0.0,0,0.0,0.0
57,Khalil Herbert,CHI,RB,114.2,423.1,2.7,16.0,120.5,0.5,0.9,0.0,0.0,0,0.0,0.0
58,Darrel Williams,ARI,RB,82.4,315.2,2.8,22.0,184.2,0.8,0.8,0.0,0.0,0,0.0,0.0
59,D'Onta Foreman,CAR,RB,82.5,393.1,2.4,7.7,70.4,0.2,0.9,0.0,0.0,0,0.0,0.0
60,Jerick McKinnon,KC,RB,44.8,212.3,1.5,27.1,222.1,1.4,0.5,0.0,0.0,0,0.0,0.0
61,Zamir White,LV,RB,77.1,327.9,2.8,10.7,89.8,0.4,1.2,0.0,0.0,0,0.0,0.0
62,Damien Williams,ATL,RB,77.6,284.4,2.0,20.4,148.5,0.8,0.9,0.0,0.0,0,0.0,0.0
63,Sony Michel,MIA,RB,97.1,368.4,2.4,8.7,57.0,0.1,0.5,0.0,0.0,0,0.0,0.0
64,Ronald Jones II,KC,RB,67.1,321.2,2.9,9.6,64.0,0.2,0.7,0.0,0.0,0,0.0,0.0
65,Isiah Pacheco,KC,RB,64.2,277.8,2.5,14.4,112.9,0.5,1.1,0.0,0.0,0,0.0,0.0
66,Boston Scott,PHI,RB,65.8,287.8,2.9,8.2,61.1,0.2,0.2,0.0,0.0,0,0.0,0.0
67,Dontrell Hilliard,TEN,RB,45.2,229.5,1.5,25.6,178.9,0.6,1.0,0.0,0.0,0,0.0,0.0
68,Matt Breida,NYG,RB,72.4,300.7,1.5,13.0,100.5,0.7,1.5,0.0,0.0,0,0.0,0.0
69,Samaje Perine,CIN,RB,65.7,252.9,1.3,18.2,128.3,0.6,0.5,0.0,0.0,0,0.0,0.0
70,Hassan Haskins,TEN,RB,69.1,301.5,1.9,8.2,66.0,0.4,1.1,0.0,0.0,0,0.0,0.0
71,Tyrion Davis-Price,SF,RB,56.1,230.2,1.9,10.7,95.2,0.4,1.1,0.0,0.0,0,0.0,0.0
72,Chuba Hubbard,CAR,RB,53.9,209.9,1.5,13.1,90.8,0.5,0.5,0.0,0.0,0,0.0,0.0
73,D'Ernest Johnson,CLE,RB,32.3,191.8,1.3,8.9,71.1,0.2,0.1,0.0,0.0,0,0.0,0.0
74,Ke'Shawn Vaughn,TB,RB,47.2,194.8,2.0,6.8,45.2,0.1,0.7,0.0,0.0,0,0.0,0.0
75,Kyle Juszczyk,SF,RB,12.2,38.7,0.6,24.5,201.7,1.2,0.1,0.0,0.0,0,0.0,0.0
76,Phillip Lindsay,IND,RB,45.1,227.2,1.5,3.9,29.2,0.1,0.1,0.0,0.0,0,0.0,0.0
77,Justin Jackson,DET,RB,25.1,162.6,1.2,9.7,77.5,0.4,0.2,0.0,0.0,0,0.0,0.0
78,Joshua Kelley,LAC,RB,43.0,200.5,1.2,8.0,58.5,0.2,0.9,0.0,0.0,0,0.0,0.0
79,Jeff Wilson Jr.,SF,RB,41.4,148.8,1.3,10.0,73.3,0.6,0.5,0.0,0.0,0,0.0,0.0
80,Eno Benjamin,ARI,RB,40.0,180.8,1.3,6.7,53.1,0.2,0.2,0.0,0.0,0,0.0,0.0
81,Ameer Abdullah,LV,RB,18.8,109.6,0.5,19.1,152.5,0.5,0.4,0.0,0.0,0,0.0,0.0
82,Brandon Bolden,LV,RB,27.8,121.5,0.7,15.4,145.7,0.4,1.0,0.0,0.0,0,0.0,0.0
83,Chris Evans,CIN,RB,27.3,100.1,0.6,15.6,113.0,0.8,0.1,0.0,0.0,0,0.0,0.0
84,Mike Davis,BAL,RB,29.7,156.4,1.0,10.3,65.4,0.2,0.6,0.0,0.0,0,0.0,0.0
85,Tevin Coleman,NYJ,RB,24.9,171.4,0.9,8.1,54.7,0.1,0.3,0.0,0.0,0,0.0,0.0
86,Craig Reynolds,DET,RB,36.6,135.4,0.5,8.4,64.8,0.4,0.4,0.0,0.0,0,0.0,0.0
87,J.J. Taylor,NE,RB,22.4,121.9,1.4,4.3,29.3,0.2,0.1,0.0,0.0,0,0.0,0.0
88,Zack Moss,BUF,RB,30.2,136.6,1.0,4.7,34.5,0.2,0.1,0.0,0.0,0,0.0,0.0
89,Duke Johnson Jr.,BUF,RB,27.0,123.0,0.9,6.9,61.1,0.2,0.5,0.0,0.0,0,0.0,0.0
90,Travis Homer,SEA,RB,15.9,93.4,0.5,10.6,88.7,0.4,0.1,0.0,0.0,0,0.0,0.0
91,Jermar Jefferson,DET,RB,26.9,114.0,1.3,4.8,32.5,0.0,0.0,0.0,0.0,0,0.0,0.0
92,Benny Snell Jr.,PIT,RB,41.6,143.9,0.9,3.8,26.1,0.1,0.2,0.0,0.0,0,0.0,0.0
93,Anthony McFarland Jr.,PIT,RB,20.9,115.2,0.7,5.3,39.7,0.4,0.1,0.0,0.0,0,0.0,0.0
94,Ty Montgomery,NE,RB,17.6,71.5,0.3,14.5,113.2,0.3,0.2,0.0,0.0,0,0.0,0.0
95,DeeJay Dallas,SEA,RB,17.6,83.1,0.6,10.7,72.2,0.4,0.1,0.0,0.0,0,0.0,0.0
96,Dare Ogunbowale,HOU,RB,7.9,82.5,0.5,10.4,83.9,0.3,0.1,0.0,0.0,0,0.0,0.0
97,Ryquell Armstead,JAC,RB,5.9,99.4,0.6,6.0,62.7,0.2,0.1,0.0,0.0,0,0.0,0.0
98,Myles Gaskin,MIA,RB,20.5,111.2,0.6,8.8,55.3,0.1,0.3,0.0,0.0,0,0.0,0.0
99,Giovani Bernard,TB,RB,16.1,69.5,0.4,9.6,70.1,0.5,0.1,0.0,0.0,0,0.0,0.0
100,Gary Brightwell,NYG,RB,22.7,87.1,0.7,5.9,44.9,0.1,0.1,0.0,0.0,0,0.0,0.0
101,Trey Sermon,SF,RB,20.5,91.4,0.8,4.8,31.6,0.1,0.1,0.0,0.0,0,0.0,0.0
102,Pierre Strong Jr.,NE,RB,20.5,86.6,0.8,3.7,30.3,0.1,0.0,0.0,0.0,0,0.0,0.0
103,Tory Carter,TEN,RB,9.5,44.5,0.5,6.9,49.7,0.6,0.0,0.0,0.0,0,0.0,0.0
104,Jaret Patterson,WAS,RB,6.0,88.1,0.6,4.3,26.5,0.2,0.1,0.0,0.0,0,0.0,0.0
105,Keaontay Ingram,ARI,RB,25.1,102.8,0.5,3.1,25.6,0.0,0.0,0.0,0.0,0,0.0,0.0
106,Kene Nwangwu,MIN,RB,21.5,84.3,0.6,3.9,24.9,0.1,0.1,0.0,0.0,0,0.0,0.0
107,Tony Jones Jr.,NO,RB,28.3,90.8,0.4,4.7,30.7,0.1,0.0,0.0,0.0,0,0.0,0.0
108,Tyler Badie,BAL,RB,20.9,99.7,0.5,2.5,19.3,0.0,0.0,0.0,0.0,0,0.0,0.0
109,Kyren Williams,LAR,RB,15.7,66.9,0.9,3.7,28.4,0.0,0.1,0.0,0.0,0,0.0,0.0
110,Demetric Felton Jr.,CLE,RB,3.6,25.0,0.1,9.4,86.0,0.6,0.4,0.0,0.0,0,0.0,0.0
111,Mike Boone,DEN,RB,14.0,75.0,0.7,3.5,25.3,0.1,0.0,0.0,0.0,0,0.0,0.0
112,Darwin Thompson,SEA,RB,0.0,75.6,0.6,3.8,28.8,0.2,0.1,0.0,0.0,0,0.0,0.0
113,Darrynton Evans,CHI,RB,18.5,79.9,0.5,3.8,28.0,0.1,0.1,0.0,0.0,0,0.0,0.0
114,Snoop Conner,JAC,RB,19.9,80.6,0.4,4.6,32.7,0.1,0.1,0.0,0.0,0,0.0,0.0
115,Abram Smith,NO,RB,20.6,85.3,0.6,1.9,13.8,0.1,0.1,0.0,0.0,0,0.0,0.0
116,Jerome Ford,CLE,RB,17.0,84.8,0.5,2.0,18.0,0.0,0.0,0.0,0.0,0,0.0,0.0
117,Patrick Ricard,BAL,RB,2.7,7.0,0.1,11.2,76.0,0.8,0.0,0.0,0.0,0,0.0,0.0
118,JaMycal Hasty,SF,RB,15.0,47.3,0.5,6.3,43.0,0.0,0.0,0.0,0.0,0,0.0,0.0
119,Ryan Nall,DAL,RB,0.0,29.4,0.2,7.1,63.1,0.3,0.0,0.0,0.0,0,0.0,0.0
120,Royce Freeman,HOU,RB,15.1,61.9,0.4,4.3,27.8,0.2,0.0,0.0,0.0,0,0.0,0.0
121,Dwayne Washington,NO,RB,16.8,48.0,0.3,4.7,40.1,0.2,0.1,0.0,0.0,0,0.0,0.0
122,C.J. Ham,MIN,RB,5.5,15.3,0.1,9.8,70.5,0.4,0.0,0.0,0.0,0,0.0,0.0
123,Ty'Son Williams,IND,RB,13.6,64.8,0.4,2.5,20.6,0.1,0.0,0.0,0.0,0,0.0,0.0
124,Rico Dowdle,DAL,RB,13.3,56.3,0.3,3.9,30.5,0.1,0.1,0.0,0.0,0,0.0,0.0
125,Qadree Ollison,ATL,RB,12.6,54.2,0.3,4.4,30.2,0.2,0.1,0.0,0.0,0,0.0,0.0
126,Justice Hill,BAL,RB,9.6,41.5,0.4,3.8,27.9,0.1,0.0,0.0,0.0,0,0.0,0.0
127,Jake Funk,LAR,RB,9.6,48.3,0.4,2.9,21.8,0.1,0.1,0.0,0.0,0,0.0,0.0
128,Trenton Cannon,TEN,RB,10.4,21.0,0.1,5.9,51.6,0.3,0.0,0.0,0.0,0,0.0,0.0
129,Keith Smith,ATL,RB,8.1,24.4,0.2,7.0,45.8,0.3,0.1,0.0,0.0,0,0.0,0.0
130,Antonio Williams,NYG,RB,11.2,53.9,0.4,1.8,14.2,0.0,0.0,0.0,0.0,0,0.0,0.0
131,Ty Chandler,MIN,RB,16.0,60.7,0.1,4.0,26.5,0.0,0.0,0.0,0.0,0,0.0,0.0
132,Kylin Hill,GB,RB,8.7,34.4,0.1,5.1,37.8,0.1,0.0,0.0,0.0,0,0.0,0.0
