player,team,pos,passing_yards,passing_tds,interceptions,rush_attempts,rushing_yards,rushing_tds,receptions,rec_yards,rec_tds
Cordarrelle Patterson,ATL,RB,0,0,0,70,265,2,22,244,2
Clyde Edwards-Helaire,KAN,RB,0,0,0,99,426,3,16,107,2
Jeff Wilson,MIA,RB,0,0,0,160,567,4,13,62,0
Chuba Hubbard,CAR,RB,0,0,0,117,413,3,18,118,1
Jaylen Warren,PIT,RB,0,0,0,102,418,2,18,155,1
D'Onta Foreman,CHI,RB,0,0,0,131,550,2,8,118,0
Chase Edmonds,TB,RB,0,0,0,75,378,1,28,191,0
Samaje Perine,DEN,RB,0,0,0,62,279,1,29,206,1
Zamir White,LVR,RB,0,0,0,87,395,3,17,135,1
Jahmyr Gibbs,FA,RB,0,0,0,88,383,2,15,128,1
D'Ernest Johnson,JAC,RB,0,0,0,77,433,1,14,110,0
James Robinson,FA,RB,0,0,0,77,346,4,13,102,0
Isaiah Spiller,LAC,RB,0,0,0,81,348,2,14,117,0
Zonovan Knight,NYJ,RB,0,0,0,75,332,1,14,119,0
J.D. McKissic,FA,RB,0,0,0,27,120,1,24,215,1
Nyheim Hines,BUF,RB,0,0,0,37,168,0,20,188,0
Devon Achane,FA,RB,0,0,0,69,294,1,12,106,0
Gus Edwards,BAL,RB,0,0,0,75,355,2,4,65,0
Kendre Miller,FA,RB,0,0,0,67,282,1,13,98,0
Joshua Kelley,LAC,RB,0,0,0,109,314,0,15,128,0
Zach Evans,FA,RB,0,0,0,60,263,1,12,89,0
Zack Moss,IND,RB,0,0,0,53,197,2,13,104,1
Pierre Strong Jr.,NWE,RB,0,0,0,57,246,1,11,90,0
Melvin Gordon,KAN,RB,0,0,0,54,266,1,7,58,1
Zach Charbonnet,FA,RB,0,0,0,59,237,2,11,88,0
Eno Benjamin,NOR,RB,0,0,0,65,228,2,10,83,0
Darrell Henderson,FA,RB,0,0,0,46,212,1,8,58,1
Jordan Mason,SFO,RB,0,0,0,55,231,1,9,77,0
Hassan Haskins,TEN,RB,0,0,0,53,228,2,9,83,0
JaMycal Hasty,JAC,RB,0,0,0,52,219,0,9,75,0
Tyrion Davis-Price,SFO,RB,0,0,0,51,214,1,9,75,0
Latavius Murray,DEN,RB,0,0,0,56,218,3,5,33,0
Kenyan Drake,BAL,RB,0,0,0,29,113,0,13,136,0
Justin Jefferson,MIN,WR,0,0,0,3,16,0,132,2033,12
Ja'Marr Chase,CIN,WR,0,0,0,3,24,0,97,1703,15
Cooper Kupp,LAR,WR,0,0,0,3,13,0,117,1614,13
Davante Adams,LVR,WR,0,0,0,0,0,0,117,1520,9
CeeDee Lamb,DAL,WR,0,0,0,18,100,0,102,1534,8
Tyreek Hill,MIA,WR,0,0,0,18,92,0,115,1234,8
Stefon Diggs,BUF,WR,0,0,0,0,0,0,100,1276,9
A.J. Brown,PHI,WR,0,0,0,3,15,0,101,1375,7
Amon-Ra St. Brown,DET,WR,0,0,0,13,72,0,103,1123,5
Garrett Wilson,NYJ,WR,0,0,0,0,0,0,95,1186,7
Tee Higgins,CIN,WR,0,0,0,0,0,0,91,1226,6
Jaylen Waddle,MIA,WR,0,0,0,1,3,0,106,1095,6
DeVonta Smith,PHI,WR,0,0,0,0,0,0,87,1301,6
Chris Godwin,TB,WR,0,0,0,3,21,1,96,1126,4
DK Metcalf,SEA,WR,0,0,0,0,6,0,75,964,12
Deebo Samuel,SFO,WR,0,0,0,48,273,5,52,1042,3
Chris Olave,NOR,WR,0,0,0,0,0,0,89,1074,6
Keenan Allen,LAC,WR,0,0,0,0,0,0,103,1106,5
D.J. Moore,CHI,WR,0,0,0,8,46,0,94,1109,3
DeAndre Hopkins,ARI,WR,0,0,0,0,1,0,91,1166,4
Amari Cooper,CLE,WR,0,0,0,0,0,0,78,945,8
Michael Pittman Jr.,IND,WR,0,0,0,8,39,0,85,1026,6
Mike Evans,TB,WR,0,0,0,2,8,0,59,851,11
Drake London,ATL,WR,0,0,0,0,0,0,74,983,7
Mike Williams,LAC,WR,0,0,0,0,0,0,68,1049,7
Diontae Johnson,PIT,WR,0,0,0,6,41,0,82,904,6
Terry McLaurin,WAS,WR,0,0,0,2,12,0,75,1027,4
Marquise Brown,ARI,WR,0,0,0,0,4,0,75,879,5
Jerry Jeudy,DEN,WR,0,0,0,0,0,0,64,1031,3
Tyler Lockett,SEA,WR,0,0,0,0,6,0,60,955,5
Brandon Aiyuk,SFO,WR,0,0,0,3,19,0,65,919,6
Christian Watson,GNB,WR,0,0,0,0,0,0,67,922,6
Christian Kirk,JAC,WR,0,0,0,2,10,0,67,884,5
Treylon Burks,TEN,WR,0,0,0,0,0,0,66,836,5
George Pickens,PIT,WR,0,0,0,0,0,0,65,880,5
Courtland Sutton,DEN,WR,0,0,0,0,0,0,73,964,3
Darnell Mooney,CHI,WR,0,0,0,4,26,0,63,884,2
Rashod Bateman,BAL,WR,0,0,0,0,0,0,80,909,2
Elijah Moore,CLE,WR,0,0,0,12,67,1,53,673,5
JuJu Smith-Schuster,FA,WR,0,0,0,0,0,0,67,570,6
Jahan Dotson,WAS,WR,0,0,0,0,0,0,56,793,4
Jakobi Meyers,LVR,WR,0,0,0,0,7,0,73,781,2
Gabe Davis,BUF,WR,0,0,0,0,0,0,44,728,7
Brandin Cooks,HOU,WR,0,0,0,2,15,0,59,750,3
Rondale Moore,ARI,WR,0,0,0,20,111,0,75,653,1
Kadarius Toney,KAN,WR,0,0,0,0,0,0,53,718,5
Jameson Williams,DET,WR,0,0,0,0,0,0,57,761,4
Zay Jones,JAC,WR,0,0,0,0,3,0,69,810,0
Calvin Ridley,JAC,WR,0,0,0,0,0,0,47,704,5
Allen Lazard,NYJ,WR,0,0,0,6,32,0,42,555,7
Hunter Renfrow,LVR,WR,0,0,0,0,2,0,53,541,4
Michael Thomas,NOR,WR,0,0,0,-1,-2,0,55,641,2
Wan'Dale Robinson,NYG,WR,0,0,0,0,0,0,49,652,4
Tyler Boyd,CIN,WR,0,0,0,2,16,0,52,627,3
Nico Collins,HOU,WR,0,0,0,0,0,0,51,688,1
Donovan Peoples-Jones,CLE,WR,0,0,0,0,0,0,40,678,4
Josh Palmer,LAC,WR,0,0,0,1,7,0,46,511,5
Michael Gallup,DAL,WR,0,0,0,0,0,0,42,613,3
Skyy Moore,KAN,WR,0,0,0,0,0,0,44,566,3
Chase Claypool,CHI,WR,0,0,0,12,68,0,42,650,1
Adam Thielen,FA,WR,0,0,0,0,1,0,39,467,5
D.J. Chark,CAR,WR,0,0,0,0,0,0,40,565,4
Romeo Doubs,GNB,WR,0,0,0,0,0,0,42,577,3
Alec Pierce,IND,WR,0,0,0,0,0,0,42,535,4
Curtis Samuel,WAS,WR,0,0,0,20,109,0,41,444,2
Allen Robinson,LAR,WR,0,0,0,0,0,0,51,538,1
K.J. Osborn,MIN,WR,0,0,0,1,6,0,35,482,4
Rashid Shaheed,NOR,WR,0,0,0,0,0,0,39,517,2
Russell Gage,TB,WR,0,0,0,0,0,0,40,493,3
Mecole Hardman,NYJ,WR,0,0,0,5,33,0,42,516,2
Parris Campbell,NYG,WR,0,0,0,0,0,0,39,515,3
Tyquan Thornton,NWE,WR,0,0,0,0,0,0,38,492,3
Robert Woods,HOU,WR,0,0,0,12,62,1,37,399,3
Isaiah Hodgins,NYG,WR,0,0,0,0,0,0,37,482,2
DeVante Parker,NWE,WR,0,0,0,0,0,0,36,473,1
Marquez Valdes-Scantling,KAN,WR,0,0,0,0,0,0,28,469,2
Quentin Johnston,FA,WR,0,0,0,0,0,0,34,438,2
Jaxon Smith-Njigba,FA,WR,0,0,0,0,0,0,35,449,3
Isaiah McKenzie,IND,WR,0,0,0,0,0,0,34,430,2
Jordan Addison,FA,WR,0,0,0,0,0,0,31,460,3
Terrace Marshall Jr.,CAR,WR,0,0,0,0,0,0,52,432,0
Corey Davis,NYJ,WR,0,0,0,0,0,0,32,448,2
Van Jefferson,LAR,WR,0,0,0,2,10,0,26,446,2
David Bell,CLE,WR,0,0,0,0,0,0,32,441,3
Darius Slayton,NYG,WR,0,0,0,0,0,0,31,431,3
Richie James,NYG,WR,0,0,0,0,0,0,30,518,0
Sterling Shepard,NYG,WR,0,0,0,4,26,1,35,367,1
John Metchie III,HOU,WR,0,0,0,0,0,0,29,412,3
Jarvis Landry,NOR,WR,0,0,0,5,25,0,32,344,1
Julio Jones,TB,WR,0,0,0,0,0,0,28,407,2
Travis Kelce,KAN,TE,0,0,0,0,0,0,113,1413,10
Mark Andrews,BAL,TE,0,0,0,0,0,0,91,1122,7
T.J. Hockenson,MIN,TE,0,0,0,0,0,0,85,787,6
Kyle Pitts,ATL,TE,0,0,0,0,0,0,70,1118,0
George Kittle,SFO,TE,0,0,0,0,0,0,61,777,4
Dallas Goedert,PHI,TE,0,0,0,0,0,0,57,850,4
Pat Freiermuth,PIT,TE,0,0,0,0,0,0,64,542,7
David Njoku,CLE,TE,0,0,0,0,0,0,52,692,5
Evan Engram,JAC,TE,0,0,0,0,0,0,70,635,5
Darren Waller,NYG,TE,0,0,0,0,0,0,65,764,2
Dalton Schultz,HOU,TE,0,0,0,0,0,0,58,630,6
Cole Kmet,CHI,TE,0,0,0,0,0,0,76,781,0
Dawson Knox,BUF,TE,0,0,0,0,0,0,45,524,7
Greg Dulcich,DEN,TE,0,0,0,0,0,0,53,645,5
Tyler Higbee,LAR,TE,0,0,0,0,0,0,58,525,5
Trey McBride,ARI,TE,0,0,0,0,0,0,53,574,4
Gerald Everett,LAC,TE,0,0,0,0,0,0,49,501,4
Zach Ertz,ARI,TE,0,0,0,0,0,0,52,536,3
Chigoziem Okonkwo,TEN,TE,0,0,0,0,0,0,49,555,4
Noah Fant,SEA,TE,0,0,0,0,0,0,50,515,3
Mike Gesicki,MIA,TE,0,0,0,0,0,0,53,539,0
Hunter Henry,NWE,TE,0,0,0,0,0,0,33,394,5
Hayden Hurst,CIN,TE,0,0,0,0,0,0,42,352,4
Isaiah Likely,BAL,TE,0,0,0,0,0,0,37,404,2
Daniel Bellinger,NYG,TE,0,0,0,0,0,0,35,394,2
Juwan Johnson,NOR,TE,0,0,0,0,0,0,21,261,6
Irv Smith Jr.,CIN,TE,0,0,0,0,0,0,27,339,5
Taysom Hill,NOR,TE,0,0,0,0,0,0,0,0,0
Albert Okwuegbunam,DEN,TE,0,0,0,0,0,0,35,349,2
Jelani Woods,IND,TE,0,0,0,0,0,0,31,367,2
Logan Thomas,WAS,TE,0,0,0,0,0,0,26,294,3
Cade Otton,TB,TE,0,0,0,0,0,0,31,341,2
Robert Tonyan,CHI,TE,0,0,0,0,0,0,26,318,2
