Player,Team,PassingAtt,Completions,PassingYds,PassingTD,Interceptions,RushingAtt,RushingYds,RushingTD,FumblesLost,Pos,Receptions,ReceivingYds,ReceivingTD
Tyler Boyd,CIN,0.0,0.0,0.0,0.0,0.0,1.5,9.0,0.0,0.2,WR,58.2,713.7,3.9
Quentin Johnston,LAC,0.0,0.0,0.0,0.0,0.0,2.5,14.0,0.1,0.7,WR,48.9,698.2,4.0
Michael Gallup,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,WR,49.8,658.8,4.6
Allen Lazard,NYJ,0.0,0.0,0.0,0.0,0.0,2.1,12.6,0.0,0.1,WR,50.7,646.1,4.5
Damien Harris,BUF,0.0,0.0,0.0,0.0,0.0,125.5,558.6,3.9,0.7,RB,17.1,116.6,0.4
Darnell Mooney,CHI,0.0,0.0,0.0,0.0,0.0,2.0,9.8,0.1,0.1,WR,52.2,665.9,4.0
D'Onta Foreman,CHI,0.0,0.0,0.0,0.0,0.0,134.7,662.0,3.3,0.6,RB,7.0,51.8,0.2
Adam Thielen,CAR,0.0,0.0,0.0,0.0,0.0,0.6,4.1,0.0,0.2,WR,56.2,650.1,4.2
Ezekiel Elliott,NE,0.0,0.0,0.0,0.0,0.0,142.0,536.9,4.0,0.8,RB,15.3,112.8,0.5
Zay Jones,JAC,0.0,0.0,0.0,0.0,0.0,1.9,8.4,0.0,0.2,WR,60.3,660.6,3.9
Devin Singletary,HOU,0.0,0.0,0.0,0.0,0.0,129.1,547.4,2.8,1.2,RB,24.2,176.3,0.4
DeVante Parker,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,WR,45.7,669.5,3.7
Rondale Moore,ARI,0.0,0.0,0.0,0.0,0.0,14.2,61.6,0.2,0.4,WR,66.6,687.3,2.2
Skyy Moore,KC,0.0,0.0,0.0,0.0,0.0,5.5,33.7,0.2,2.1,WR,50.4,642.7,3.9
Chuba Hubbard,CAR,0.0,0.0,0.0,0.0,0.0,110.9,520.1,3.1,0.7,RB,17.9,157.4,0.5
Romeo Doubs,GB,0.0,0.0,0.0,0.0,0.0,0.6,6.3,0.0,0.7,WR,54.5,641.1,4.1
Pat Freiermuth,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,TE,59.9,636.5,4.1
Evan Engram,JAC,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.2,TE,62.6,653.4,3.6
Curtis Samuel,WAS,0.0,0.0,0.0,0.0,0.0,25.8,139.8,0.8,0.5,WR,47.9,522.7,2.6
Jonathan Mingo,CAR,0.0,0.0,0.0,0.0,0.0,1.2,12.9,0.1,0.4,WR,47.4,652.7,3.2
Jaylen Warren,PIT,0.0,0.0,0.0,0.0,0.0,104.8,472.7,2.6,0.4,RB,23.5,200.0,0.4
Donovan Peoples-Jones,CLE,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.0,0.6,WR,45.0,659.7,3.2
Van Jefferson,LAR,0.0,0.0,0.0,0.0,0.0,0.7,4.9,0.0,0.1,WR,42.5,609.7,3.8
De'Von Achane,MIA,0.0,0.0,0.0,0.0,0.0,112.2,451.3,2.9,0.9,RB,21.6,181.2,0.9
Kenneth Gainwell,PHI,0.0,0.0,0.0,0.0,0.0,92.5,404.8,3.8,0.3,RB,22.1,169.8,0.7
David Njoku,CLE,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.4,TE,52.8,577.8,4.3
Elijah Moore,CLE,0.0,0.0,0.0,0.0,0.0,4.9,24.9,0.2,0.1,WR,44.3,600.0,3.3
Chigoziem Okonkwo,TEN,0.0,0.0,0.0,0.0,0.0,5.0,18.9,0.2,0.1,TE,46.9,572.9,3.8
K.J. Osborn,MIN,0.0,0.0,0.0,0.0,0.0,2.9,14.4,0.1,0.2,WR,48.6,557.9,4.2
Jerick McKinnon,KC,0.0,0.0,0.0,0.0,0.0,57.0,222.6,1.6,0.2,RB,38.4,328.7,3.0
Dalton Schultz,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.5,TE,56.0,574.8,4.2
Hunter Renfrow,LV,0.0,0.0,0.0,0.0,0.0,0.4,3.8,0.0,0.6,WR,60.6,603.9,3.6
Gus Edwards,BAL,0.0,0.0,0.0,0.0,0.0,119.9,567.2,3.2,0.9,RB,6.8,59.0,0.2
Jayden Reed,GB,0.0,0.0,0.0,0.0,0.0,2.4,16.6,0.1,0.2,WR,47.9,603.6,3.1
Rashid Shaheed,NO,0.0,0.0,0.0,0.0,0.0,3.7,42.9,0.8,0.1,WR,38.1,567.7,2.4
Jameson Williams,DET,0.0,0.0,0.0,0.0,0.0,1.9,20.4,0.1,0.5,WR,38.9,584.6,3.2
