Rank,Player,Team,Pos,ESPN,Fantrax,Sleeper,AVG
282,Randall Cobb,GB,WR,,327.0,255.0,269.0
283,New York Jets,DST,DST,,218.0,,241.5
284,Jonathan Garibay,,K,,199.0,,243.0
285,Atlanta Falcons,DST,DST,,187.0,,187.0
286,Zack Moss,BUF,RB,,341.0,,276.3
287,Randy Bullock,TEN,K,,381.0,,284.0
288,Jason Sanders,MIA,K,,299.0,,263.3
289,Amari Rodgers,GB,WR,,236.0,,246.0
290,Seattle Seahawks,DST,DST,,251.0,,246.5
291,Zay Jones,JAC,WR,,342.0,253.0,278.3
292,Tyler Conklin,NYJ,TE,,339.0,256.0,277.7
293,Ke'Shawn Vaughn,TB,RB,,264.0,,248.0
294,Marquez Callaway,NO,WR,,256.0,,248.0
295,Mo Alie-Cox,IND,TE,,273.0,252.0,266.3
296,Chicago Bears,DST,DST,,385.0,,298.0
297,Cedrick Wilson Jr.,MIA,WR,,257.0,,260.0
298,Quez Watkins,PHI,WR,,369.0,,296.3
299,Braxton Berrios,NYJ,WR,,370.0,,295.5
300,Byron Pringle,CHI,WR,,320.0,273.0,286.8
301,Joey Slye,WAS,K,,234.0,,263.5
302,Tyler Badie,BAL,RB,,254.0,,266.0
303,Jonnu Smith,NE,TE,,301.0,264.0,278.0
304,Cairo Santos,CHI,K,,334.0,,283.0
305,Terrace Marshall Jr.,CAR,WR,,267.0,267.0,267.0
306,Trey McBride,ARI,TE,,278.0,258.0,268.0
307,Jason Myers,SEA,K,,,,236.0
308,Rex Burkhead,HOU,RB,,359.0,,298.7
309,Kyle Juszczyk,SF,RB,,408.0,,324.5
310,Olamide Zaccheaus,ATL,WR,,244.0,,244.0
311,Greg Zuerlein,NYJ,K,,360.0,,303.5
312,Jelani Woods,IND,TE,,252.0,,252.0
313,Austin Seibert,DET,K,,,,254.0
314,Ty Montgomery,NE,RB,,409.0,,331.5
315,Joshua Kelley,LAC,RB,,399.0,,327.0
316,Jaylen Warren,PIT,RB,,413.0,,335.5
317,Phillip Lindsay,IND,RB,,261.0,,261.0
318,Jerome Ford,CLE,RB,,,,262.0
319,Tyler Huntley,BAL,QB,,263.0,,263.0
320,Tyquan Thornton,NE,WR,,309.0,263.0,286.0
321,Zane Gonzalez,CAR,K,,,,264.0
322,Nelson Agholor,NE,WR,,350.0,,305.3
