PlayerID,Player,Position,Tm,PassingYds,PassingAirYards,PassingYAC,PassingTD,Sacks,SackYards,Int,PassingAtt,Cmp,PassingFirstDown,PassingEPA,Passing2PC,RushingAtt,RushingYds,RushingTD,RushingFirstDown,RushingEPA,Rushing2PC,Receptions,Targets,ReceivingYards,ReceivingTDs,ReceivingAirYards,ReceivingYAC,ReceivingFirstDown,ReceivingEPA,Receiving2PC,TargetShare,AirYardsShare,WOPR,SpecialTeamsTD,FumblesLost,StandardFantasyPoints,PPRFantasyPoints,HalfPPRFantasyPoints
00-0033923,Kareem Hunt,RB,CLE,0,0,0,0,0,0,0,0,0,0,0.0,0,11,46,1,3,0.83634037,0,4,4,24,1,-4,28,2,1.7578316,0,0.13333334,-0.017621145,0.1876652,0,0,19.0,23.0,21.0
00-0033925,D'Onta Foreman,RB,CAR,0,0,0,0,0,0,0,0,0,0,0.0,0,2,5,0,0,-0.55929923,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.5,0.5,0.5
00-0033932,Kenny Golladay,WR,NYG,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,2,2,22,0,13,9,1,0.7548412,0,0.0952381,0.108333334,0.21869047,0,0,2.2,4.2,3.2
00-0033943,Josh Reynolds,WR,DET,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,3,28,0,41,8,1,0.8533799,0,0.08108108,0.13398694,0.21541247,0,0,2.8,3.8,3.3
00-0033948,Jamaal Williams,RB,DET,0,0,0,0,0,0,0,0,0,0,0.0,0,11,28,2,3,-1.35191,0,1,2,2,0,5,0,0,-1.3680164,0,0.054054055,0.01633987,0.09251899,0,0,15.0,16.0,15.5
00-0034073,Ross Dwelley,TE,SF,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,2,11,0,15,0,1,1.4009165,0,0.07692308,0.072115384,0.16586539,0,0,1.1,2.1,1.6
00-0034104,Cam Sims,WR,WAS,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,0,0,29,0,0,-0.47560662,0,0.024390243,0.1,0.10658537,0,0,0.0,0.0,0.0
00-0034115,Jeffery Wilson,RB,SF,0,0,0,0,0,0,0,0,0,0,0.0,0,9,22,0,0,-3.228974,0,2,2,8,0,2,6,0,-1.240422,0,0.07692308,0.009615385,0.12211538,0,0,3.0,5.0,4.0
00-0034159,Will Dissly,TE,SEA,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,3,3,43,1,12,31,1,3.0921133,0,0.11111111,0.08888889,0.22888888,0,0,10.3,13.3,11.8
00-0034208,Mike Boone,RB,DEN,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,1,2,0,2,0,0,-0.43017203,0,0.024390243,0.007194245,0.04162134,0,0,0.2,1.2,0.7
00-0034253,Dontrell Hilliard,RB,TEN,0,0,0,0,0,0,0,0,0,0,0.0,0,2,8,0,0,-0.23074599,0,3,4,61,2,21,41,3,5.2118144,0,0.12903225,0.072413795,0.24423805,0,0,18.9,21.9,20.4
00-0034270,Tyler Conklin,TE,NYJ,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,4,7,16,1,11,0,1,1.1606654,0,0.12280702,0.039285716,0.21171053,0,0,7.6,11.6,9.6
00-0034272,Marquez Valdes-Scantling,WR,KC,0,0,0,0,0,0,0,0,0,0,0.0,0,1,-3,0,0,-1.0038338,0,4,4,44,0,22,22,3,3.5359206,0,0.102564104,0.07236842,0.20450404,0,0,4.1,8.1,6.1
00-0034279,Equanimeous St. Brown,WR,CHI,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,3,18,1,34,0,1,1.3776562,0,0.1764706,0.20987654,0.41161945,0,0,7.8,8.8,8.3
00-0034286,Richie James,WR,NYG,0,0,0,0,0,0,0,0,0,0,0.0,0,1,2,0,0,-0.5052912,0,5,6,59,0,63,13,3,0.68939275,0,0.2857143,0.525,0.7960714,0,0,6.1,11.1,8.6
00-0034297,Byron Pringle,WR,CHI,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,2,22,0,51,0,1,0.6436154,0,0.11764706,0.3148148,0.39684096,0,0,2.2,3.2,2.7
00-0034348,Courtland Sutton,WR,DEN,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,4,7,72,0,121,13,3,5.7410593,0,0.17073171,0.4352518,0.56077385,0,0,7.2,11.2,9.2
00-0034351,Dallas Goedert,TE,PHI,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,3,4,60,0,9,52,3,4.3371673,0,0.13793103,0.069767445,0.25573376,0,0,6.0,9.0,7.5
00-0034365,Ian Thomas,TE,CAR,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,2,3,53,0,33,31,2,3.987585,0,0.115384616,0.19760479,0.31140026,0,0,5.3,7.3,6.3
00-0034367,Nyheim Hines,RB,IND,0,0,0,0,0,0,0,0,0,0,0.0,0,3,4,0,0,-4.2751994,0,6,6,50,0,11,39,3,3.4701073,0,0.12244898,0.03448276,0.2078114,0,0,5.4,11.4,8.4
00-0034383,Dalton Schultz,TE,DAL,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7,9,62,0,60,10,2,2.9764185,0,0.2195122,0.16528925,0.4449708,0,0,6.2,13.2,9.7
00-0034386,Justin Watson,WR,KC,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,0,0,2,0,0,-0.46840528,0,0.025641026,0.006578947,0.043066803,0,0,0.0,0.0,0.0
00-0034407,Ray-Ray McCloud,WR,SF,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,2,20,0,32,0,1,0.2614779,0,0.07692308,0.15384616,0.22307692,0,0,2.0,3.0,2.5
00-0034411,Russell Gage,WR,TB,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,2,2,13,0,6,7,0,0.34507298,0,0.074074075,0.019672131,0.1248816,0,0,1.3,3.3,2.3
00-0034414,Boston Scott,RB,PHI,0,0,0,0,0,0,0,0,0,0,0.0,0,4,10,1,1,-1.8387135,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,7.0,7.0,7.0
00-0034418,Cedrick Wilson,WR,MIA,0,0,0,0,0,0,0,0,0,0,0.0,0,1,8,0,0,0.5464192,0,2,2,20,0,17,3,0,-0.091387704,0,0.06451613,0.06538462,0.14254342,0,0,2.8,4.8,3.8
00-0034419,Braxton Berrios,WR,NYJ,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,5,6,37,0,12,25,2,0.36374182,0,0.10526316,0.042857144,0.18789473,0,0,3.7,8.7,6.2
00-0034487,Trent Sherfield,WR,MIA,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,2,8,0,23,0,0,0.09730289,0,0.06451613,0.08846154,0.15869728,0,0,0.8,1.8,1.3
